year,semester,subjectCode,num,time
2013,1,ENG10062,1,"M2,M3"
2013,1,ENG20021,1,"M5,Th5"
2013,1,GEE20034,1,"Th2,Th3"
2013,1,GEE30023,1,"Th4,Th5"
2013,1,GEK10000,2,"M3,M4,Th3,Th4"
2013,1,GEK10021,1,"Th5,Th6"
2013,1,GEK10022,1,"M5,Th5"
2013,1,GEK10022,2,"M6,Th6"
2013,1,GEK10033,1,"M6,Th6"
2013,1,GEK10038,1,"M4,M5"
2013,1,GEK10038,3,"Th4,Th5"
2013,1,GEK10040,1,"M2,M3"
2013,1,GEK10042,1,"M3,Th3"
2013,1,GEK10045,14,"M5,Th5"
2013,1,GEK10055,4,"M6,Th6"
2013,1,GEK10056,1,"M7,Th7"
2013,1,GEK10057,1,"M5,Th5"
2013,1,GEK10057,2,"M1,Th1"
2013,1,GEK10057,3,"M2,Th2"
2013,1,GEK10059,3,"M3,Th3"
2013,1,GEK10059,4,"M5,Th5"
2013,1,GEK10060,1,"M3,Th3"
2013,1,GEK10062,1,"M2,Th2"
2013,1,GEK10062,2,"M3,Th3"
2013,1,GEK10095,2,"M2,Th2"
2013,1,GEK10096,1,"M1,Th1"
2013,1,GEK10096,2,"M2,Th2"
2013,1,GEK10096,3,"M3,Th3"
2013,1,GEK20011,1,"Th3,Th4"
2013,1,GEK20011,2,"M3,M4"
2013,1,GEK20011,3,"Th3,Th4"
2013,1,GEK20016,1,"M5,Th5"
2013,1,GEK20021,1,"Th7,Th8"
2013,1,GEK20021,2,Th6
2013,1,GEK20028,3,"Th2,Th3"
2013,1,GEK20042,2,"M4,M5"
2013,1,GEK20044,1,"M6,M7"
2013,1,GEK20045,1,"M3,Th3"
2013,1,GEK20053,1,"M3,Th3"
2013,1,GEK30014,2,"M5,Th5"
2013,1,GEK30046,1,"M3,Th3"
2013,1,GEK40094,1,M4
2013,1,GEK40096,1,"M4,Th4"
2013,1,GEK40096,2,"M4,M5"
2013,1,ISL10071,1,"M2,Th2"
2013,1,ISL10071,2,"M5,Th5"
2013,1,ISL10074,1,"M3,Th3"
2013,1,ISL10075,2,"M3,Th3"
2013,1,ISL10075,4,"M4,Th4"
2013,1,ISL10075,6,"M2,Th2"
2013,1,ISL10075,7,"M3,Th3"
