course,classroom
ENG20022.1,NMH 410A
GCS10001.1,HDH 424
GCS10001.2,HDH 424
GCS10001.3,HDH 403
GCS10002.1,HDH 403
GCS10002.5,HDH 403
GCS10002.6,HDH 403
GCS10002.7,HDH 403
GCS10007.3,OH 302
GCS10007.4,OH 302
GCS10010.1,HDH 425B
GCS10011.1,HDH 303A
GCS10012.1,HDH 303A
GCS10016.2,HDH 303B
GCS10023.1,NMH 104A
GCS10027.1,NMH 402
GCS10027.2,NMH 402
GCS10028.1,NMH 402
GCS10033.1,HDH 303B
GCS10033.2,NMH 109
GCS10033.3,NMH 109
GCS10037.3,HDH 303B
GCS10037.4,HDH 303B
GCS10037.7,NMH 104A
GCS10037.8,NMH 108
GCS10037.9,NMH 108
GCS10037.12,NMH 108
GCS10039.1,HDH 303B
GCS10039.2,NMH 104A
GCS10041.1,NTH 213
GCS10041.2,NTH 213
GCS10053.1,GLC 101
GCS10053.2,GLC 101
GCS10053.3,GLC 303
GCS10053.4,GLC 303
GCS10053.5,GLC 202
GCS10053.6,GLC 305
GCS10053.7,GLC 305
GCS10053.8,GLC 305
GCS10053.9,GLC 101
GCS10053.10,GLC 302
GCS10056.1,HDH 303A
GCS10061.2,NMH 410A
GCS10061.3,NMH 410A
GCS10062.1,GLC 302
GCS10062.2,GLC 302
GCS10062.3,GLC 302
GCS10062.4,GLC 303
GCS10062.5,GLC 303
GCS10062.6,GLC 303
GCS10062.7,GLC 106
GCS10062.8,GLC 106
GCS10062.9,GLC 106
GCS10062.10,GLC 106
GCS10062.11,GLC 106
GCS20001.1,GLC 304
GCS20001.2,GLC 304
GCS20001.10,GLC 301
GCS20001.11,GLC 301
GCS20001.12,GLC 301
GCS20001.13,GLC 301
GCS20001.14,GLC 304
GCS20001.15,GLC 304
GCS20002.9,GLC 202
GCS20002.10,GLC 305
GCS20002.11,GLC 305
GCS20002.12,GLC 305
GCS20002.13,GLC 202
GCS20002.14,GLC 202
GCS20002.15,GLC 302
GCS20002.16,GLC 302
GCS20006.1,OH 302
GCS20006.2,OH 302
GCS20009.1,HDH 424
