year,semester,subjectCode,num_x,capacity,classroom,student_count,time,time_conv,course,random.ID,num_y
2015,1,ENG20021,1,30,NMH 410A,1,"M5,Th5","[5, 41]",ENG20021.1,JtJqIpEy,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,hiBtTPFf,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,IhqdsBuk,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,kojMLcLL,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,h70e2DWN,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,Oshvgyww,1
2015,1,ENG20022,1,60,NMH 207,13,"M6,Th6","[6, 42]",ENG20022.1,TcgBmSa8,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,XFNA4khd,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,U9cY5Sao,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,CUk32nK1,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,sKejY85o,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,k1nIr55p,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,Q5AQ5fMY,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,p6ddVGu5,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,FQuJMaRE,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,UyMBVvJw,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,as6QTjq1,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,wf7VFrsi,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,h5YjgaGI,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,KCPbZ68M,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,Z1BZiMQW,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,WSkw7GUo,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,CZj08OkU,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,MtAKoClH,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,NWxNVg1q,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,hJCWPJMs,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,B7Az12r3,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,AegmouAO,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,eS6fxwzA,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,8wJNEeXq,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,cXtYAMPN,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,JBrJWvZj,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,WLm1VW2l,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,vzAtTBey,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,KvIxCALV,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,pnN2Kfbe,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,NHnTR3yr,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,Z7TSfO4C,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,BBVOKt2W,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,C0qLPolL,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,ttRMOs6l,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,4UJXipzo,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,DhpBYXIY,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,cRh0QZg5,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,JjiEV4WM,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,hMfiwABy,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,jlL5pIpR,1
2015,1,GCS10001,1,45,HDH 424,49,"M2,Th2","[2, 38]",GCS10001.1,tISzvQ10,1
